product_code,warehouse_code,in_store_priority
T5KCM29871,STOREM069,1
T5KCM29871,STOREM156,2
T5KCM29871,STORE008,3
T5KCM29871,STOREM030,4
T5KCM29871,STOREM161,5
T5KCM29871,STOREM208,6
T5KCM29871,STORE001,7
T5KCM29871,STORE037,8
T5KCM29871,STORE608,9
T5KCM29871,STORE013,10
T5KCM29871,STOREM032,11
T5KCM29871,STOREM197,12
T5KCM29871,STOREM194,13
T5KCM29871,WAREHOUSE020,14
T5ABD07499,STORE001,1
T5ABD07499,STOREM156,2
T5ABD07499,STOREM161,3
T5ABD07499,STORE032,4
T5ABD07499,STORE011,5
T5ABD07499,STOREM030,6
T5ABD07499,STORE037,7
T5ABD07499,STORE042,8
T5ABD07499,STORE608,9
T5ABD07499,STOREM162,10
T5ABD07499,STORE013,11
T5ABD07499,STORE012,12
T5ABD07499,STORE014,13
T5ABD07499,WAREHOUSE020,14
T5ABC12345,STOREM156,1
T5ABC12345,STORE001,2
T5ABC12345,STORE008,3
T5ABC12345,STOREM203,4
T5ABC12345,STORE013,5
T5ABC12345,STOREM161,6
T5ABC12345,STOREM157,7
T5ABC12345,STOREM125,8
T5ABC12345,STOREM030,9
T5ABC12345,STOREM208,10
T5ABC12345,STORE006,11
T5ABC12345,STORE032,12
T5ABC12345,STORE037,13
T5ABC12345,STOREM126,14
T5ABC12345,STOREM162,15
T5ABC12345,STORE011,16
T5ABC12345,STORE040,17
T5ABC12345,STOREM189,18
T5ABC12345,STORE007,19
T5ABC12345,STORE033,20
T5ABC12345,STOREM193,21
T5ABC12345,STOREM069,22
T5ABC12345,STOREM178,23
T5ABC12345,STORE042,24
T5ABC12345,STORE608,25
T5ABC12345,STOREM205,26
T5ABC12345,STOREM015,27
T5ABC12345,STOREM016,28
T5ABC12345,STOREM032,29
T5ABC12345,STOREM128,30
T5ABC12345,STOREM197,31
T5ABC12345,STOREM204,32
T5ABC12345,STORE039,33
T5ABC12345,STOREM017,34
T5ABC12345,STOREM068,35
T5ABC12345,STOREM192,36
T5ABC12345,STOREM194,37
T5ABC12345,STORE035,38
T5ABC12345,WAREHOUSE020,39
T5ABC33874,STORE001,1
T5ABC33874,STORE008,2
T5ABC33874,STOREM156,3
T5ABC33874,STOREM203,4
T5ABC33874,STORE006,5
T5ABC33874,STORE032,6
T5ABC33874,STOREM198,7
T5ABC33874,STOREM157,8
T5ABC33874,STOREM208,9
T5ABC33874,STOREM196,10
T5ABC33874,STOREM030,11
T5ABC33874,STOREM205,12
T5ABC33874,STOREM178,13
T5ABC33874,STORE037,14
T5ABC33874,STOREM126,15
T5ABC33874,STOREM162,16
T5ABC33874,STORE011,17
T5ABC33874,STOREM016,18
T5ABC33874,STOREM128,19
T5ABC33874,STORE012,20
T5ABC33874,STOREM201,21
T5ABC33874,STORE014,22
T5ABC33874,STOREM069,23
T5ABC33874,STOREM161,24
T5ABC33874,STORE042,25
T5ABC33874,STORE608,26
T5ABC33874,STOREM181,27
T5ABC33874,STOREM184,28
T5ABC33874,STOREM199,29
T5ABC33874,STORE013,30
T5ABC33874,STORE040,31
T5ABC33874,STOREM032,32
T5ABC33874,STOREM189,33
T5ABC33874,STOREM369,34
T5ABC33874,STORE022,35
T5ABC33874,STORE039,36
T5ABC33874,STORE041,37
T5ABC33874,STORE007,38
T5ABC33874,STORE023,39
T5ABC33874,STORE033,40
